Dependency Taxonomy,Configuration Parameter A,Configuration Parameter B,Class,Function
Control Dependency,alluxio.underfs.s3a.inherit_acl,alluxio.underfs.s3.owner.id.to.username.mapping,alluxio.underfs.s3a.S3AUnderFileSystem,<alluxio.underfs.s3a.S3AUnderFileSystem: alluxio.underfs.ObjectUnderFileSystem$ObjectPermissions getPermissionsInternal()>
Control Dependency,alluxio.master.mount.table.root.option,alluxio.worker.principal,alluxio.underfs.hdfs.HdfsUnderFileSystem,<alluxio.underfs.hdfs.HdfsUnderFileSystem: void connectFromWorker(java.lang.String)>
Control Dependency,alluxio.master.mount.table.root.option,alluxio.master.principal,alluxio.underfs.hdfs.HdfsUnderFileSystem,<alluxio.underfs.hdfs.HdfsUnderFileSystem: void connectFromMaster(java.lang.String)>
Control Dependency,alluxio.master.hostname,alluxio.worker.data.server.domain.socket.as.uuid,alluxio.util.network.NetworkAddressUtils,<alluxio.util.network.NetworkAddressUtils: java.lang.String getClientHostName()>
Control Dependency,alluxio.master.mount.table.root.option,aws.accessKeyId,alluxio.underfs.s3a.S3AUnderFileSystem,<alluxio.underfs.s3a.S3AUnderFileSystem: com.amazonaws.auth.AWSCredentialsProvider createAwsCredentialsProvider(alluxio.underfs.UnderFileSystemConfiguration)>
Control Dependency,alluxio.underfs.listing.length,alluxio.underfs.s3a.list.objects.v1,alluxio.underfs.ObjectUnderFileSystem,<alluxio.underfs.ObjectUnderFileSystem: int getListingChunkLength()>
Control Dependency,alluxio.home,alluxio.integration.mesos.alluxio.jar.url,alluxio.mesos.AlluxioScheduler,<alluxio.mesos.AlluxioScheduler: java.lang.String createStartAlluxioCommand(java.lang.String)>
Control Dependency,alluxio.master.hostname,alluxio.user.local.reader.packet.size.bytes,alluxio.client.block.stream.BlockInStream,"<alluxio.client.block.stream.BlockInStream: alluxio.client.block.stream.BlockInStream createLocalBlockInStream(alluxio.client.file.FileSystemContext,alluxio.wire.WorkerNetAddress,long,long,alluxio.client.file.options.InStreamOptions)>"
Control Dependency,alluxio.user.hostname,alluxio.user.local.reader.packet.size.bytes,alluxio.client.block.stream.BlockInStream,"<alluxio.client.block.stream.BlockInStream: alluxio.client.block.stream.BlockInStream createLocalBlockInStream(alluxio.client.file.FileSystemContext,alluxio.wire.WorkerNetAddress,long,long,alluxio.client.file.options.InStreamOptions)>"
Control Dependency,alluxio.master.mount.table.root.option,alluxio.underfs.s3.proxy.port,alluxio.underfs.s3a.S3AUnderFileSystem,"<alluxio.underfs.s3a.S3AUnderFileSystem: alluxio.underfs.s3a.S3AUnderFileSystem createInstance(alluxio.AlluxioURI,alluxio.underfs.UnderFileSystemConfiguration)>"
Control Dependency,alluxio.master.hostname,alluxio.user.network.netty.channel.pool.size.max,alluxio.client.file.FileSystemContext,<alluxio.client.file.FileSystemContext: io.netty.channel.Channel acquireNettyChannel(alluxio.wire.WorkerNetAddress)>
Control Dependency,alluxio.locality.order,alluxio.user.hostname,alluxio.util.network.NetworkAddressUtils,<alluxio.util.network.NetworkAddressUtils: java.lang.String getLocalNodeName()>
Control Dependency,alluxio.user.network.netty.channel,alluxio.worker.data.server.domain.socket.as.uuid,alluxio.util.network.NettyUtils,<alluxio.util.network.NettyUtils: boolean isDomainSocketSupported(alluxio.wire.WorkerNetAddress)>
Control Dependency,alluxio.master.mount.table.root.option,alluxio.underfs.s3a.list.objects.v1,alluxio.underfs.s3a.S3AUnderFileSystem,"<alluxio.underfs.s3a.S3AUnderFileSystem: alluxio.underfs.ObjectUnderFileSystem$ObjectListingChunk getObjectListingChunk(java.lang.String,boolean)>"
Control Dependency,alluxio.master.keytab.file,alluxio.master.mount.table.root.option,alluxio.underfs.hdfs.HdfsUnderFileSystem,<alluxio.underfs.hdfs.HdfsUnderFileSystem: void connectFromMaster(java.lang.String)>
Control Dependency,alluxio.master.mount.table.root.option,alluxio.underfs.s3.proxy.host,alluxio.underfs.s3a.S3AUnderFileSystem,"<alluxio.underfs.s3a.S3AUnderFileSystem: alluxio.underfs.s3a.S3AUnderFileSystem createInstance(alluxio.AlluxioURI,alluxio.underfs.UnderFileSystemConfiguration)>"
Control Dependency,alluxio.master.mount.table.root.option,aws.secretKey,alluxio.underfs.s3a.S3AUnderFileSystem,<alluxio.underfs.s3a.S3AUnderFileSystem: com.amazonaws.auth.AWSCredentialsProvider createAwsCredentialsProvider(alluxio.underfs.UnderFileSystemConfiguration)>
Control Dependency,alluxio.user.metrics.collection.enabled,alluxio.user.metrics.heartbeat.interval,alluxio.client.file.FileSystemContext,"<alluxio.client.file.FileSystemContext: void init(alluxio.master.MasterInquireClient,alluxio.conf.InstancedConfiguration)>"
Control Dependency,alluxio.master.mount.table.root.option,alluxio.underfs.s3a.signer.algorithm,alluxio.underfs.s3a.S3AUnderFileSystem,"<alluxio.underfs.s3a.S3AUnderFileSystem: alluxio.underfs.s3a.S3AUnderFileSystem createInstance(alluxio.AlluxioURI,alluxio.underfs.UnderFileSystemConfiguration)>"
Control Dependency,alluxio.master.mount.table.root.option,alluxio.worker.keytab.file,alluxio.underfs.hdfs.HdfsUnderFileSystem,<alluxio.underfs.hdfs.HdfsUnderFileSystem: void connectFromWorker(java.lang.String)>
Control Dependency,alluxio.master.master.heartbeat.interval,alluxio.zookeeper.enabled,alluxio.master.meta.DefaultMetaMaster,<alluxio.master.meta.DefaultMetaMaster: void start(java.lang.Boolean)>
Control Dependency,alluxio.zookeeper.address,alluxio.zookeeper.enabled,alluxio.master.MasterInquireClient$Factory,<alluxio.master.MasterInquireClient$Factory: alluxio.master.MasterInquireClient create(alluxio.AlluxioConfiguration)>
Control Dependency,alluxio.conf.dir,alluxio.home,alluxio.cli.validation.ClusterConfConsistencyValidationTask,<alluxio.cli.validation.ClusterConfConsistencyValidationTask: java.util.Properties getNodeConf(java.lang.String)>
Control Dependency,alluxio.worker.data.server.domain.socket.address,alluxio.worker.network.netty.channel,alluxio.worker.AlluxioWorkerProcess,<alluxio.worker.AlluxioWorkerProcess: boolean isDomainSocketEnabled()>
Control Dependency,alluxio.worker.tieredstore.reserver.enabled,alluxio.worker.tieredstore.reserver.interval,alluxio.worker.block.DefaultBlockWorker,<alluxio.worker.block.DefaultBlockWorker: void start(alluxio.wire.WorkerNetAddress)>
Control Dependency,alluxio.security.authentication.custom.provider.class,alluxio.security.authentication.type,alluxio.security.authentication.AuthenticationProvider,*
Control Dependency,alluxio.master.hostname,alluxio.user.local.writer.packet.size.bytes,alluxio.client.block.stream.LocalFilePacketWriter,"<alluxio.client.block.stream.LocalFilePacketWriter: alluxio.client.block.stream.LocalFilePacketWriter create(alluxio.client.file.FileSystemContext,alluxio.wire.WorkerNetAddress,long,alluxio.client.file.options.OutStreamOptions)>"
Control Dependency,alluxio.locality.order,alluxio.worker.hostname,alluxio.util.network.NetworkAddressUtils,<alluxio.util.network.NetworkAddressUtils: java.lang.String getLocalNodeName()>
Control Dependency,alluxio.zookeeper.enabled,alluxio.zookeeper.leader.path,alluxio.master.MasterInquireClient$Factory,<alluxio.master.MasterInquireClient$Factory: alluxio.master.MasterInquireClient create(alluxio.AlluxioConfiguration)>
Control Dependency,hbase.master.info.port,hbase.master.infoserver.redirect,org.apache.hadoop.hbase.LocalHBaseCluster,"<org.apache.hadoop.hbase.LocalHBaseCluster: void <init>(org.apache.hadoop.conf.Configuration,int,int,java.lang.Class,java.lang.Class)>"
Control Dependency,alluxio.security.authentication.type,alluxio.security.login.username,alluxio.security.LoginUser,*
Control Dependency,alluxio.master.mount.table.root.option,alluxio.underfs.s3.endpoint,alluxio.underfs.s3a.S3AUnderFileSystem,"<alluxio.underfs.s3a.S3AUnderFileSystem: alluxio.underfs.s3a.S3AUnderFileSystem createInstance(alluxio.AlluxioURI,alluxio.underfs.UnderFileSystemConfiguration)>"
Control Dependency,net.topology.node.switch.mapping.impl,net.topology.table.file.name,org.apache.hadoop.hdfs.ClientContext,<org.apache.hadoop.hdfs.ClientContext: void initTopologyResolution(org.apache.hadoop.conf.Configuration)>
Control Dependency,mapreduce.job.dir,mapreduce.task.files.preserve.failedtasks,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,<org.apache.hadoop.mapreduce.v2.app.MRAppMaster: void cleanupStagingDir()>
Control Dependency,mapreduce.job.dir,mapreduce.task.files.preserve.filepattern,org.apache.hadoop.mapred.Task,"<org.apache.hadoop.mapred.Task: void runJobCleanupTask(org.apache.hadoop.mapred.TaskUmbilicalProtocol,org.apache.hadoop.mapred.Task$TaskReporter)>"
Control Dependency,mapreduce.map.input.length,mapreduce.map.input.start,org.apache.hadoop.mapreduce.lib.input.CombineFileRecordReaderWrapper,<org.apache.hadoop.mapreduce.lib.input.CombineFileRecordReaderWrapper: boolean fileSplitIsValid(org.apache.hadoop.mapreduce.TaskAttemptContext)>
Control Dependency,mapreduce.output.fileoutputformat.compress,mapreduce.output.fileoutputformat.compress.type,org.apache.hadoop.mapred.MapFileOutputFormat,"<org.apache.hadoop.mapred.MapFileOutputFormat: org.apache.hadoop.mapred.RecordWriter getRecordWriter(org.apache.hadoop.fs.FileSystem,org.apache.hadoop.mapred.JobConf,java.lang.String,org.apache.hadoop.util.Progressable)>"
Control Dependency,mapreduce.input.multipleinputs.dir.formats,mapreduce.job.working.dir,org.apache.hadoop.mapred.JobConf,<org.apache.hadoop.mapred.JobConf: org.apache.hadoop.fs.Path getWorkingDirectory()>
Control Dependency,mapreduce.ifile.readahead,mapreduce.ifile.readahead.bytes,org.apache.hadoop.mapred.IFileInputStream,<org.apache.hadoop.mapred.IFileInputStream: void doReadahead()>
Control Dependency,mapreduce.job.cache.files,mapreduce.job.cache.limit.max-resources,org.apache.hadoop.mapreduce.JobResourceUploader,"<org.apache.hadoop.mapreduce.JobResourceUploader: void checkLocalizationLimits(org.apache.hadoop.conf.Configuration,java.util.Collection,java.util.Collection,java.util.Collection,java.lang.String,java.util.Map)>"
Control Dependency,mapreduce.task.profile,mapreduce.task.profile.maps,org.apache.hadoop.mapred.MapReduceChildJVM,"<org.apache.hadoop.mapred.MapReduceChildJVM: java.util.List getVMCommand(java.net.InetSocketAddress,org.apache.hadoop.mapred.Task,org.apache.hadoop.mapred.JVMId)>"
Control Dependency,mapreduce.reduce.memory.mb,mapreduce.task.attempt.id,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,"<org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: int getMemoryRequired(org.apache.hadoop.conf.Configuration,org.apache.hadoop.mapreduce.v2.api.records.TaskType)>"
Control Dependency,mapreduce.job.classloader,mapreduce.job.classloader.system.classes,org.apache.hadoop.mapreduce.v2.util.MRApps,<org.apache.hadoop.mapreduce.v2.util.MRApps: java.lang.String[] getSystemClasses(org.apache.hadoop.conf.Configuration)>
Control Dependency,mapreduce.job.reduces,mapreduce.local.reduce.tasks.maximum,org.apache.hadoop.mapred.LocalJobRunner$Job,<org.apache.hadoop.mapred.LocalJobRunner$Job: java.util.concurrent.ExecutorService createReduceExecutor()>
Control Dependency,mapreduce.job.skip.outdir,mapreduce.output.fileoutputformat.outputdir,org.apache.hadoop.mapred.FileOutputFormat,<org.apache.hadoop.mapred.FileOutputFormat: org.apache.hadoop.fs.Path getOutputPath(org.apache.hadoop.mapred.JobConf)>
Control Dependency,mapreduce.map.speculative,mapreduce.reduce.speculative,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,<org.apache.hadoop.mapreduce.v2.app.MRAppMaster: void serviceInit(org.apache.hadoop.conf.Configuration)>
Control Dependency,mapreduce.output.fileoutputformat.compress,mapreduce.output.fileoutputformat.compress.codec,org.apache.hadoop.mapred.MapFileOutputFormat,"<org.apache.hadoop.mapred.MapFileOutputFormat: org.apache.hadoop.mapred.RecordWriter getRecordWriter(org.apache.hadoop.fs.FileSystem,org.apache.hadoop.mapred.JobConf,java.lang.String,org.apache.hadoop.util.Progressable)>"
Control Dependency,mapreduce.job.encrypted-intermediate-data,mapreduce.job.encrypted-intermediate-data-key-size-bits,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,<org.apache.hadoop.mapreduce.v2.app.MRAppMaster: void initJobCredentialsAndUGI(org.apache.hadoop.conf.Configuration)>
Control Dependency,mapreduce.randomwriter.bytespermap,mapreduce.randomwriter.totalbytes,org.apache.hadoop.examples.RandomWriter,<org.apache.hadoop.examples.RandomWriter: int run(java.lang.String[])>
Control Dependency,mapreduce.jobhistory.loadedjobs.cache.size,mapreduce.jobhistory.loadedtasks.cache.size,org.apache.hadoop.mapreduce.v2.hs.CachedHistoryStorage$2,*
Control Dependency,mapreduce.job.ubertask.enable,mapreduce.job.ubertask.maxbytes,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,<org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: void makeUberDecision(long)>
Control Dependency,mapreduce.jobhistory.intermediate-done-dir,mapreduce.jobhistory.maximum-start-wait-time-millis,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,<org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils: java.lang.String getConfiguredHistoryIntermediateDoneDirPrefix(org.apache.hadoop.conf.Configuration)>
Control Dependency,mapreduce.job.cache.archives,mapreduce.job.cache.limit.max-resources,org.apache.hadoop.mapreduce.JobResourceUploader,"<org.apache.hadoop.mapreduce.JobResourceUploader: void checkLocalizationLimits(org.apache.hadoop.conf.Configuration,java.util.Collection,java.util.Collection,java.util.Collection,java.lang.String,java.util.Map)>"
Control Dependency,mapreduce.framework.name,mapreduce.jobtracker.kerberos.principal,org.apache.hadoop.mapred.Master,<org.apache.hadoop.mapred.Master: java.lang.String getMasterPrincipal(org.apache.hadoop.conf.Configuration)>
Control Dependency,mapreduce.map.input.file,mapreduce.map.input.length,org.apache.hadoop.mapreduce.lib.input.CombineFileRecordReaderWrapper,<org.apache.hadoop.mapreduce.lib.input.CombineFileRecordReaderWrapper: boolean fileSplitIsValid(org.apache.hadoop.mapreduce.TaskAttemptContext)>
Control Dependency,mapreduce.fileoutputcommitter.algorithm.version,mapreduce.fileoutputcommitter.failures.attempts,org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,<org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter: void commitJob(org.apache.hadoop.mapreduce.JobContext)>
