Dependency Taxonomy,Dependency,Checking Time,Violation handling,Impact of violations,Feedback,Configuration Parameter A,ComponentA,"Configuration Parameter B( ,C and more)",ComponentB,Related description
Control dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,dfs.ha.automatic-failover.enable,hdfs-default.xml,ha.zookeeper.parent-znode,core-default.xml,dfs.ha.automatic-failover.enable: Whether automatic failover is enabled.
Control dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,dfs.ha.automatic-failover.enable,hdfs-default.xml,ha.zookeeper.session-timeout.ms,core-default.xml,dfs.ha.automatic-failover.enable: Whether automatic failover is enabled.
Control dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,dfs.ha.automatic-failover.enable,hdfs-default.xml,ha.zookeeper.quorum,core-default.xml,dfs.ha.automatic-failover.enable: Whether automatic failover is enabled.
Control dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,hadoop.security.authentication,core-default.xml,yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled,yarn-default.xml,yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled: Flag to enable override of the default kerberos authentication filter with the RM authentication filter to allow authentication using delegation tokens(fallback to kerberos if the tokens are missing). Only applicable when the http authentication type is kerberos.
Control dependency,"If A is true, B will work",Init Time,Init Time Exception,Startup Failure,Partial,hadoop.security.authentication,core-default.xml,dfs.secondary.namenode.kerberos.principal ,hdfs-default.xml,dfs.secondary.namenode.kerberos.principal: Kerberos principal name for the Secondary NameNode.
Control dependency,"If A is set, B will not work",no check,N/A,Usability,None,dfs.datanode.dns.interface,hdfs-default.xml,hadoop.security.dns.interface,core-default.xml,Prefer using hadoop.security.dns.interface over dfs.datanode.dns.interface.
Control dependency,"If A is set, B will not work",no check,N/A,Usability,None,hadoop.security.dns.nameserver,core-default.xml,dfs.datanode.dns.nameserver,hdfs-default.xml,Prefer using hadoop.security.dns.nameserver over dfs.datanode.dns.nameserver.
Control dependency ,"If A is SomeValue, B will work",Init Time,Init Time Exception,Startup Failure,Partial,hadoop.security.authentication,core-default.xml,dfs.journalnode.kerberos.principal,hdfs-default.xml,"hadoop.security.authentication: Possible values are simple (no authentication), and kerberos."
Control dependency ,"If A is true, B will work",Init Time,Init Time Exception,Startup Failure,Partial,hadoop.security.authentication,core-default.xml,dfs.namenode.keytab.file,hdfs-default.xml,"hadoop.security.authentication: Possible values are simple (no authentication), and kerberos."
Control dependency ,"if A is true, B will work",no check,N/A,Usability,None,yarn.timeline-service.enabled,yarn-default.xml,mapreduce.job.emit-timeline-data,mapred-default.xml,yarn.timeline-service.enabled: In the server side it indicates whether timeline service is enabled or not.
Value Relationship (Numeric),A <= B,Runtime,Correction without logging,Usability,None,dfs.blocksize,hdfs-default.xml,mapreduce.input.fileinputformat.split.maxsize,mapred-default.xml,mapreduce.input.fileinputformat.split.maxsize: The maximum size chunk that map input should be split into.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,dfs.blocksize,hdfs-default.xml,mapreduce.input.fileinputformat.split.minsize,mapred-default.xml,mapreduce.input.fileinputformat.split.minsize: The minimum size chunk that map input should be split into.
Value Relationship (Numeric),A <= B,Init Time,Init Time Exception,Startup Failure,Partial,alluxio.integration.worker.resource.mem, Alluxio.xml,yarn.scheduler.maximum-allocation-mb,yarn-default.xml,"alluxio.integration.worker.resource.mem : The amount of memory to run an Alluxio worker for YARN framework. 

yarn.scheduler.maximum-allocation-mb : The maximum allocation for every container request at the RM in MBs. Memory requests higher than this will throw an InvalidResourceRequestException."
Value Relationship (Numeric),A <= B,Init Time,Init Time Exception,Startup Failure,Partial,alluxio.integration.master.resource.mem, Alluxio.xml,yarn.scheduler.maximum-allocation-mb,yarn-default.xml,"alluxio.integration.master.resource.mem : The amount of memory to run an Alluxio master for YARN framework.

yarn.scheduler.maximum-allocation-mb : The maximum allocation for every container request at the RM in MBs. Memory requests higher than this will throw an InvalidResourceRequestException."
Value Relationship (Numeric),A <= B,Init Time,Init Time Exception,Startup Failure,Partial,alluxio.integration.worker.resource.cpu, Alluxio.xml,yarn.scheduler.maximum-allocation-vcores,yarn-default.xml,"alluxio.integration.worker.resource.cpu : The number of CPUs to run an Alluxio worker for YARN framework.

yarn.scheduler.maximum-allocation-vcores : The maximum allocation for every container request at the RM in terms of virtual CPU cores. Requests higher than this will throw an InvalidResourceRequestException."
Value Relationship (Numeric),A <= B,Init Time,Init Time Exception,Startup Failure,Partial,alluxio.integration.master.resource.cpu, Alluxio.xml,yarn.scheduler.maximum-allocation-vcores,yarn-default.xml,"alluxio.integration.master.resource.cpu : The number of CPUs to run an Alluxio master for YARN framework.

yarn.scheduler.maximum-allocation-vcores : The maximum allocation for every container request at the RM in terms of virtual CPU cores. Requests higher than this will throw an InvalidResourceRequestException."
Value Relationship (Numeric),len(A) <= B,Runtime,Correction with logging,Service Degradation,Partial,spark.log.callerContext,Spark.xml,hadoop.caller.context.max.size,core-default.xml,Its length (spark.log.callerContext) depends on the Hadoop configuration hadoop.caller.context.max.size.
Value Relationship (Numeric),A >= B,Init Time,Correction with logging,Usability,Partial,yarn.resourcemanager.am.max-attempts,yarn-default.xml,mapreduce.am.max-attempts,mapred-default.xml,"The maximum number of application attempts. It's a global setting for all application masters. Each application master's individual number cannot be more than the global upper bound. If it is, the resourcemanager will override it."
Value Relationship (Numeric),A <= B,Init Time,Correction without logging,Usability,None,zookeeper.session.timeout,hbase-default.xml,maxSessionTimeout,ZooKeeper.xml,"""ZooKeeper session timeout in milliseconds. It is used in two different ways. First, this value is used in the ZK client that HBase uses to connect to the ensemble. It is also used by HBase when it starts a ZK server and it is passed as the 'maxSessionTimeout'."" But when the parameter used in a region server that connects to an ensemble managed with a different configuration, the session timeout will be subjected that ensemble's maxSessionTimeout, not specified by this configuration."
Value Relationship (Numeric),A >= B,Init Time,Init Time Exception,Startup Failure,Partial,alluxio.integration.worker.resource.mem, Alluxio.xml,yarn.scheduler.minimum-allocation-mb,yarn-default.xml,"alluxio.integration.worker.resource.mem : The amount of memory to run an Alluxio worker for YARN framework. 

yarn.scheduler.minimum-allocation-mb : The minimum allocation for every container request at the RM in MBs. Memory requests lower than this will be set to the value of this property. Additionally, a node manager that is configured to have less memory than this value will be shut down by the resource manager."
Value Relationship (Numeric),A >= B,Init Time,Init Time Exception,Startup Failure,Partial,alluxio.integration.master.resource.mem, Alluxio.xml,yarn.scheduler.minimum-allocation-mb,yarn-default.xml,"alluxio.integration.master.resource.mem : The amount of memory to run an Alluxio master for YARN framework.

yarn.scheduler.minimum-allocation-mb : The minimum allocation for every container request at the RM in MBs. Memory requests lower than this will be set to the value of this property. Additionally, a node manager that is configured to have less memory than this value will be shut down by the resource manager."
Value Relationship (Numeric),A >= B,Init Time,Init Time Exception,Startup Failure,Partial,alluxio.integration.worker.resource.cpu, Alluxio.xml,yarn.scheduler.minimum-allocation-vcores,yarn-default.xml,"alluxio.integration.worker.resource.cpu : The number of CPUs to run an Alluxio worker for YARN framework.

yarn.scheduler.minimum-allocation-vcores : The minimum allocation for every container request at the RM in terms of virtual CPU cores. Requests lower than this will be set to the value of this property. Additionally, a node manager that is configured to have fewer virtual cores than this value will be shut down by the resource
 manager."
Value Relationship (Numeric),A >= B,Init Time,Init Time Exception,Startup Failure,Partial,alluxio.integration.master.resource.cpu, Alluxio.xml,yarn.scheduler.minimum-allocation-vcores,yarn-default.xml,"alluxio.integration.master.resource.cpu : The number of CPUs to run an Alluxio master for YARN framework.

yarn.scheduler.minimum-allocation-vcores : The minimum allocation for every container request at the RM in terms of virtual CPU cores. Requests lower than this will be set to the value of this property. Additionally, a node manager that is configured to have fewer virtual cores than this value will be shut down by the resource
 manager."
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.maximum-allocation-mb,yarn-default.xml,mapreduce.map.memory.mb,mapred-default.xml,yarn.scheduler.maximum-allocation-mb: The maximum allocation for every container request at the RM in MBs.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.maximum-allocation-mb,yarn-default.xml,mapreduce.reduce.memory.mb,mapred-default.xml,yarn.scheduler.maximum-allocation-mb: The maximum allocation for every container request at the RM in MBs.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.minimum-allocation-mb,yarn-default.xml,mapreduce.map.memory.mb,mapred-default.xml,yarn.scheduler.minimum-allocation-mb: The minimum allocation for every container request at the RM.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.minimum-allocation-mb,yarn-default.xml,mapreduce.reduce.memory.mb,mapred-default.xml,yarn.scheduler.minimum-allocation-mb: The minimum allocation for every container request at the RM.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.maximum-allocation-vcores,yarn-default.xml,mapreduce.map.cpu.vcores,mapred-default.xml,yarn.scheduler.maximum-allocation-mb: The maximum allocation for every container request at the RM in MBs.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.minimum-allocation-vcores,yarn-default.xml,mapreduce.reduce.cpu.vcores,mapred-default.xml,yarn.scheduler.minimum-allocation-mb: The minimum allocation for every container request at the RM.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.maximum-allocation-vcores,yarn-default.xml,mapreduce.map.cpu.vcores,mapred-default.xml,yarn.scheduler.maximum-allocation-mb: The maximum allocation for every container request at the RM in MBs.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.minimum-allocation-vcores,yarn-default.xml,mapreduce.reduce.cpu.vcores,mapred-default.xml,yarn.scheduler.minimum-allocation-mb: The minimum allocation for every container request at the RM.
Value Relationship (Numeric),A >= B,Runtime,Logging only,Performance issues,Inadequate,yarn.nodemanager.resource.cpu-vcores,yarn-default.xml,mapreduce.map.cpu.vcores,mapred-default.xml,"yarn.nodemanager.resource.memory-mb: Amount of physical memory, in MB, that can be allocated for containers."
Value Relationship (Numeric),A >= B,Runtime,Logging only,Performance issues,Inadequate,yarn.nodemanager.resource.memory-mb,yarn-default.xml,mapreduce.map.memory.mb,mapred-default.xml,"yarn.nodemanager.resource.memory-mb: Amount of physical memory, in MB, that can be allocated for containers."
Value Relationship (Numeric),A >= B,Runtime,Logging only,Performance issues,Inadequate,yarn.nodemanager.resource.cpu-vcores,yarn-default.xml,mapreduce.reduce.cpu.vcores,mapred-default.xml,"yarn.nodemanager.resource.memory-mb: Amount of physical memory, in MB, that can be allocated for containers."
Value Relationship (Numeric),A >= B,Runtime,Logging only,Performance issues,Inadequate,yarn.nodemanager.resource.memory-mb,yarn-default.xml,mapreduce.reduce.memory.mb,mapred-default.xml,"yarn.nodemanager.resource.memory-mb: Amount of physical memory, in MB, that can be allocated for containers."
Value Relationship (Numeric),A >= B,Runtime,Logging only,Performance issues,Inadequate,yarn.nodemanager.resource.cpu-vcores,yarn-default.xml,spark.executor.cores,spark.xml,"yarn.nodemanager.resource.memory-mb: Amount of physical memory, in MB, that can be allocated for containers."
Value Relationship (Numeric),A >= B,Runtime,Logging only,Performance issues,Inadequate,yarn.nodemanager.resource.memory-mb,yarn-default.xml,spark.executor.memory,spark.xml,"yarn.nodemanager.resource.memory-mb: Amount of physical memory, in MB, that can be allocated for containers."
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.maximum-allocation-mb,yarn-default.xml,spark.executor.memory,spark.xml,yarn.scheduler.maximum-allocation-mb: The maximum allocation for every container request at the RM in MBs.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.minimum-allocation-mb,yarn-default.xml,spark.executor.memory,spark.xml,yarn.scheduler.minimum-allocation-mb: The minimum allocation for every container request at the RM.
Value Relationship (Numeric),A >= B,Runtime,Logging only,Performance issues,Inadequate,yarn.nodemanager.resource.memory-mb,yarn-default.xml,spark.driver.memory,spark.xml,"yarn.nodemanager.resource.memory-mb: Amount of physical memory, in MB, that can be allocated for containers."
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.maximum-allocation-mb,yarn-default.xml,spark.driver.memory,spark.xml,yarn.scheduler.maximum-allocation-mb: The maximum allocation for every container request at the RM in MBs.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.minimum-allocation-mb,yarn-default.xml,spark.driver.memory,spark.xml,yarn.scheduler.minimum-allocation-mb: The minimum allocation for every container request at the RM.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.maximum-allocation-vcores,yarn-default.xml,spark.executor.cores,spark.xml,yarn.scheduler.maximum-allocation-mb: The maximum allocation for every container request at the RM in MBs.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.minimum-allocation-vcores,yarn-default.xml,spark.executor.cores,spark.xml,yarn.scheduler.minimum-allocation-mb: The minimum allocation for every container request at the RM.
Value Relationship (Numeric),A >= B,Runtime,Logging only,Performance issues,Inadequate,yarn.nodemanager.resource.cpu-vcores,yarn-default.xml,spark.driver.cores,spark.xml,"yarn.nodemanager.resource.memory-mb: Amount of physical memory, in MB, that can be allocated for containers."
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.maximum-allocation-vcores,yarn-default.xml,spark.driver.cores,spark.xml,yarn.scheduler.maximum-allocation-mb: The maximum allocation for every container request at the RM in MBs.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.minimum-allocation-vcores,yarn-default.xml,spark.driver.cores,spark.xml,yarn.scheduler.minimum-allocation-mb: The minimum allocation for every container request at the RM.
Value Relationship (Numeric),A >= B,Runtime,Logging only,Performance issues,Inadequate,yarn.nodemanager.resource.cpu-vcores,yarn-default.xml,yarn.app.mapreduce.am.resource.cpu-vcores,mapred-default.xml,"yarn.nodemanager.resource.memory-mb: Amount of physical memory, in MB, that can be allocated for containers."
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.maximum-allocation-vcores,yarn-default.xml,yarn.app.mapreduce.am.resource.cpu-vcores,mapred-default.xml,yarn.scheduler.maximum-allocation-mb: The maximum allocation for every container request at the RM in MBs.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.minimum-allocation-vcores,yarn-default.xml,yarn.app.mapreduce.am.resource.cpu-vcores,mapred-default.xml,yarn.scheduler.minimum-allocation-mb: The minimum allocation for every container request at the RM.
Value Relationship (Numeric),A >= B,Runtime,Logging only,Performance issues,Inadequate,yarn.nodemanager.resource.memory-mb,yarn-default.xml,yarn.app.mapreduce.am.resource.mb,mapred-default.xml,"yarn.nodemanager.resource.memory-mb: Amount of physical memory, in MB, that can be allocated for containers."
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.maximum-allocation-mb,yarn-default.xml,yarn.app.mapreduce.am.resource.mb,mapred-default.xml,yarn.scheduler.maximum-allocation-mb: The maximum allocation for every container request at the RM in MBs.
Value Relationship (Numeric),A >= B,Runtime,Correction without logging,Usability,None,yarn.scheduler.minimum-allocation-mb,yarn-default.xml,yarn.app.mapreduce.am.resource.mb,mapred-default.xml,yarn.scheduler.minimum-allocation-mb: The minimum allocation for every container request at the RM.
Value Relationship (Numeric) ,A <= B,Runtime,Runtime Exception,Runtime Failure,Inadequate,yarn.resourcemanager.zk-max-znode-size.bytes,yarn-default.xml,jute.maxbuffer,ZooKeeper.xml,Value should be same or less than jute.maxbuffer configured in zookeeper. Default value configured is 1MB.
Value Relationship (Numeric),A >= B + C + D,no check,N/A,Performance issues,None,hbase.lease.recovery.dfs.timeout,hbase-default.xml,dfs.client.socket-timeout; dfs.heartbeat.interval; hbase.lease.recovery.pause,hdfs-default.xml,"Should be larger than the sum of dfs.heartbeat.interval, dfs.client.socket-timeout and hbase.lease.recovery.pause"
Value Relationship (Logical),"If A is SomeValue, B will work",Init Time,Init Time Exception,Startup Failure,Inadequate,hbase.thrift.security.qop,hbase-default.xml,hadoop.security.authentication,core-default.xml,"hadoop.security.authentication: Possible values are simple (no authentication), and kerberos."
Value Relationship (Logical),"If A and B are both true, something will work",Init Time,Logging only,Usability,Complete,hadoop.security.authentication,core-default.xml,dfs.web.authentication.kerberos.keytab,hdfs-default.xml,"hadoop.security.authentication: Possible values are simple (no authentication), and kerberos."
Value Relationship (Logical),"If A and B are both true, something will work",Init Time,Logging only,Usability,Complete,hadoop.security.authentication,core-default.xml,dfs.web.authentication.kerberos.principal,hdfs-default.xml,"hadoop.security.authentication: Possible values are simple (no authentication), and kerberos."
Value Relationship (Logical),"If A and B are both true, something will work",Init Time,Init Time Exception,Startup Failure,Complete,hadoop.security.authentication,core-default.xml,dfs.block.access.token.enable,hdfs-default.xml,"hadoop.security.authentication: Possible values are simple (no authentication), and kerberos."
Value Relationship (Logical),"If A is true, B’s value is affected",Init Time,Correction without logging,Usability,None,yarn.timeline-service.http-cross-origin.enabled,yarn-default.xml,hadoop.http.cross-origin.enabled,core-default.xml,"Flag to enable cross-origin (CORS) support for timeline service v1.x or Timeline Reader in timeline service v2. For timeline service v2, also add org.apache.hadoop.security.HttpCrossOriginFilterInitializer to the configuration hadoop.http.filter.initializers in core-site.xml."
Value Relationship (Logical),"If A is true, B’s value is affected",Init Time,Correction without logging,Usability,None,yarn.nodemanager.webapp.cross-origin.enabled,yarn-default.xml,hadoop.http.cross-origin.enabled,core-default.xml,"Flag to enable cross-origin (CORS) support in the NM. This flag requires the CORS filter initializer to be added to the filter initializers list in core-site.xml. In core-site.xml, add org.apache.hadoop.security.HttpCrossOriginFilterInitializer to hadoop.http.filter.initializers."
Value Relationship (Logical),"If A is true, B’s value is affected",Init Time,Correction without logging,Usability,None,yarn.resourcemanager.webapp.cross-origin.enabled,yarn-default.xml,hadoop.http.cross-origin.enabled,core-default.xml,Flag to enable cross-origin (CORS) support in the RM. This flag requires the CORS filter initializer to be added to the filter initializers list in core-site.xml. add org.apache.hadoop.security.HttpCrossOriginFilterInitializer to hadoop.http.filter.initializers.
Value Relationship (Set),A should come from the list of B,Runtime,Runtime Exception,Runtime Failure,Complete,mapreduce.job.shuffle.provider.services,mapred-default.xml,yarn.nodemanager.aux-services,yarn-default.xml,yarn.nodemanager.aux-services: A comma separated list of services where service name.
Value Relationship (Set),A should come from the list of B,Init Time,Init Time Exception,Startup Failure,Inadequate,dfs.image.compression.codec,hdfs-default.xml,io.compression.codecs,core-default.xml,This (dfs.image.compression.codec) has to be a codec defined in io.compression.codecs.
Overwrite Dependency ,"If A is set, it will override B",no check,N/A,Usability,None,yarn.resourcemanager.fs.state-store.retry-policy-spec,yarn-default.xml,dfs.client.retry.policy.spec,hdfs-default.xml,yarn.resourcemanager.fs.state-store.retry-policy-spec: hdfs client retry policy specification. hdfs client retry is always enabled.
Overwrite Dependency ,"If A is set, it will override B",no check,N/A,Usability,None,yarn.client.failover-retries,yarn-default.xml,ipc.client.connect.max.retries,core-default.xml,"In other words, yarn.client.failover-retries is the ipc.client.connect.max.retries to be used during failover attempts"
Overwrite Dependency ,"If A is set, it will override B",no check,N/A,Usability,None,yarn.client.failover-retries-on-socket-timeouts,yarn-default.xml,ipc.client.connect.max.retries.on.timeouts,core-default.xml,"In other words, yarn.client.failover-retries-on-socket-timeouts is the ipc.client.connect.max.retries.on.timeouts to be used during failover attempts"
Overwrite Dependency ,"If A is set, it will override B, interface issue",no check,N/A,Usability,None,spark.hadoop.mapreduce.fileoutputcommitter.algorithm.version,Spark.xml,mapreduce.fileoutputcommitter.algorithm.version,mapred-default.xml,spark.hadoop.mapreduce.fileoutputcommitter.algorithm.version: The file output committer algorithm version.
Overwrite Dependency ,A (the option in hbase) will override B (in zookeeper),no check,N/A,Usability,None,hbase.zookeeper.property.syncLimit,hbase-default.xml,syncLimit,ZooKeeper.xml,Property from ZooKeeper's config zoo.cfg. The number of ticks that can pass between sending a request and getting an acknowledgment.
Overwrite Dependency ,A (the option in hbase) will override B (in zookeeper),no check,N/A,Usability,None,hbase.zookeeper.property.dataDir,hbase-default.xml,dataDir,ZooKeeper.xml,Property from ZooKeeper's config zoo.cfg. The directory where the snapshot is stored.
Overwrite Dependency ,A (the option in hbase) will override B (in zookeeper),no check,N/A,Usability,None,hbase.zookeeper.property.initLimit,hbase-default.xml,initLimit,ZooKeeper.xml,Property from ZooKeeper's config zoo.cfg. The number of ticks that the initial synchronization phase can take.
Overwrite Dependency ,A (the option in hbase) will override B (in zookeeper),no check,N/A,Usability,None,hbase.zookeeper.property.maxClientCnxns,hbase-default.xml,maxClientCnxns,ZooKeeper.xml,Property from ZooKeeper's config zoo.cfg. Limit on number of concurrent connections.
Overwrite Dependency ,A (the option in hbase) will override B (in zookeeper),no check,N/A,Usability,None,hbase.zookeeper.property.clientPort,hbase-default.xml,clientPort,ZooKeeper.xml,Property from ZooKeeper's config zoo.cfg. The port at which the clients will connect.
Overwrite Dependency ,A (the option in hbase) will override B (in zookeeper),no check,N/A,Usability,None,hbase.zookeeper.peerport,hbase-default.xml,server.x ,ZooKeeper.xml,"server.x: There are two port numbers nnnnn. The first followers use to connect to the leader, and the second is for leader election."
Overwrite Dependency ,A (the option in hbase) will override B (in zookeeper),no check,N/A,Usability,None,hbase.zookeeper.leaderport,hbase-default.xml,server.x ,ZooKeeper.xml,"server.x: There are two port numbers nnnnn. The first followers use to connect to the leader, and the second is for leader election."
Default Value Dependency ,A’s default value is B’s value,no check,N/A,Usability,None,yarn.scheduler.configuration.leveldb-store.path,yarn-default.xml,hadoop.tmp.dir,core-default.xml,yarn.scheduler.configuration.leveldb-store.path = ${hadoop.tmp.dir}/yarn/system/confstore
Default Value Dependency ,A’s default value is B’s value,no check,N/A,Usability,None,yarn.timeline-service.leveldb-timeline-store.path,yarn-default.xml,hadoop.tmp.dir,core-default.xml,yarn.timeline-service.leveldb-timeline-store.path = ${hadoop.tmp.dir}/yarn/timeline
Default Value Dependency ,A’s default value is B’s value,no check,N/A,Usability,None,yarn.resourcemanager.fs.state-store.uri,yarn-default.xml,hadoop.tmp.dir,core-default.xml,yarn.resourcemanager.fs.state-store.uri = ${hadoop.tmp.dir}/yarn/system/rmstore
Default Value Dependency ,A’s default value is B’s value,no check,N/A,Usability,None,dfs.data.transfer.saslproperties.resolver.class,hdfs-default.xml,hadoop.security.saslproperties.resolver.class,core-default.xml,"If dfs.data.transfer.saslproperties.resolver.class not specified, the value of hadoop.security.saslproperties.resolver.class is used as the default value."
Default Value Dependency ,A’s default value is B’s value,no check,N/A,Usability,None,dfs.client.read.shortcircuit.buffer.size,hdfs-default.xml,hbase.dfs.client.read.shortcircuit.buffer.size,hbase-default.xml,"If the DFSClient configuration dfs.client.read.shortcircuit.buffer.size is unset, we will  use what is configured here (hbase.dfs.client.read.shortcircuit.buffer.size) as the short circuit read default direct byte buffer size."
Default Value Dependency ,A’s default value is B’s value,no check,N/A,Usability,None,mapreduce.job.ubertask.maxbytes,mapred-default.xml,fs.local.block.size,hdfs-default.xml,"mapreduce.job.ubertask.maxbytes: Threshold for number of input bytes, beyond which job is considered too big for the ubertasking optimization. If no value is specified, dfs.block.size is used as a default."
Behavioral Dependency,No code pattern,no check,N/A,Usability,None,yarn.nodemanager.recovery.enabled,yarn-default.xml,mapreduce.shuffle.port ,mapred-default.xml,"When yarn.nodemanager.recovery.enabled is enabled (yarn supports recovery mode), the service should use non-ephemeral ports, which is set by mapreduce.shuffle.port ."
Behavioral Dependency,No code pattern,no check,N/A,Usability,None,hadoop.security.authentication,core-default.xml,dfs.datanode.http.address,hdfs-default.xml,"When hadoop.security.authentication is enabled, dfs.datanode.http.address should use privilege ports"
Behavioral Dependency,No code pattern,no check,N/A,Usability,None,hadoop.security.authentication,core-default.xml,dfs.datanode.address,hdfs-default.xml,"When hadoop.security.authentication is enabled, dfs.datanode.address should use privilege ports"
