"Taxonomy","Relationship","Config A","Section A","Component A","Config B","Section B","Component B","Related Description","Is Corner Cases","Checking Time","Handling","Impact of violations","Feedback"
"Control Dependency","if A is true, B will work","configdrive_use_object_store","conductor","ironic","configdrive_swift_container","deploy","ironic","used when configdrive_use_object_store is true. (string value) ","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","configdrive_use_object_store","conductor","ironic","configdrive_swift_temp_url_duration","deploy","ironic","used when configdrive_use_object_store is true. ","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","fast_track","deploy","ironic","fast_track_timeout","deploy","ironic","this feature also enables power operations which are part of deployment processes to be bypassed if the ramdisk has performed a heartbeat operation using the fast_track_timeout setting. ","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","enabled","audit","ironic","audit_map_file","audit","ironic","it is used only when api audit is enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","enabled","audit","ironic","ignore_req_list","audit","ironic","it is used only when api audit is enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'scrypt', B will work","password_hash_algorithm","identity","keystone","scrypt_block_size","identity","keystone","this option is only used when the `password_hash_algorithm` option is set to `scrypt`","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'scrypt', B will work","password_hash_algorithm","identity","keystone","scrypt_parallelism","identity","keystone","this option is only used when the `password_hash_algorithm` option is set to `scrypt`","found","no check ","N/A","Usability","None"
"Control Dependency","if A >= 0, B will work","lockout_failure_attempts","security_compliance","keystone","lockout_duration","security_compliance","keystone","the number of seconds a user account will be locked when the maximum number of failed authentication attempts (as specified by `[security_compliance] lockout_failure_attempts`) is exceeded.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'templated', B will work","driver","catalog","keystone","template_file","catalog","keystone","absolute path to the file used for the templated catalog backend. this option is only used if the `[catalog] driver` is set to `templated`","found","no check ","N/A","Usability","None"
"Control Dependency","if A is false, B will work","domain_configurations_from_database","identity","keystone","domain_config_dir","identity","keystone","enabling this configuration option allows you to instead manage domain-specific configurations through the api, which are then persisted in the backend (typically, a sql database),","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","domain_specific_drivers_enabled","identity","keystone","domain_config_dir","identity","keystone","this option has no effect unless `[identity] domain_specific_drivers_enabled` is set to true.","found","no check ","N/A","Usability","None"
"Control Dependency","if B and C are in use, A will be ignored.","user_enabled_invert","ldap","keystone","user_enabled_mask;user_enabled_emulation","ldap","keystone","this option will have no effect if either the `[ldap] user_enabled_mask` or `[ldap] user_enabled_emulation` options are in use.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","user_enabled_emulation","ldap","keystone","user_enabled_emulation_dn","ldap","keystone","setting this option has no effect unless `[ldap] user_enabled_emulation` is also enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","user_enabled_emulation","ldap","keystone","user_enabled_emulation_use_group_config","ldap","keystone","enabling this option has no effect unless `[ldap] user_enabled_emulation` is also enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is null, B will work","tls_cacertfile","ldap","keystone","tls_cacertdir","ldap","keystone","this option will take precedence over `[ldap] tls_cacertdir`, so there is no reason to set both.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","use_pool","ldap","keystone","pool_size","ldap","keystone","this option has no effect unless `[ldap] use_pool` is also enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","use_pool","ldap","keystone","pool_retry_max","ldap","keystone","this option has no effect unless `[ldap] use_pool` is also enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","use_pool","ldap","keystone","pool_retry_delay","ldap","keystone","this option has no effect unless `[ldap] use_pool` is also enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","use_pool","ldap","keystone","pool_connection_timeout","ldap","keystone","this option has no effect unless `[ldap] use_pool` is also enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","use_pool","ldap","keystone","pool_connection_lifetime","ldap","keystone","this option has no effect unless `[ldap] use_pool` is also enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","use_auth_pool","ldap","keystone","auth_pool_size","ldap","keystone","this option has no effect unless `[ldap] use_auth_pool` is also enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","use_auth_pool","ldap","keystone","auth_pool_connection_lifetime","ldap","keystone","this option has no effect unless `[ldap] use_auth_pool` is also enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","user_enabled_emulation_use_group_config","ldap","keystone","group_objectclass","ldap","keystone","use the `[ldap] group_member_attribute` and `[ldap] group_objectclass` settings to determine membership in the emulated enabled group.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","user_enabled_emulation_use_group_config","ldap","keystone","group_member_attribute","ldap","keystone","use the `[ldap] group_member_attribute` and `[ldap] group_objectclass` settings to determine membership in the emulated enabled group.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","cache","access_rules_config","keystone","cache_time","access_rules_config","keystone","this has no effect unless global caching is enabled. (integer value)","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","cache","application_credential","keystone","cache_time","application_credential","keystone","this has no effect unless global caching is enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","caching","catalog","keystone","cache_time","catalog","keystone","this has no effect unless global and catalog caching are both enabled. catalog data (services, endpoints, etc.)","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","caching","domain_config","keystone","cache_time","domain_config","keystone","this has no effect unless `[domain_config] caching` is enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","caching","receipt","keystone","cache_on_issue","receipt","keystone","this option has no effect unless global caching and receipt caching are enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","caching","receipt","keystone","cache_time","receipt","keystone","this option has no effect unless global caching and receipt caching are enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","caching","resource","keystone","cache_time","resource","keystone","this option has no effect unless global caching and receipt caching are enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","caching","revoke","keystone","cache_time","revoke","keystone","this option has no effect unless global caching and receipt caching are enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","caching","role","keystone","cache_time","role","keystone","this option has no effect unless global caching and receipt caching are enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","caching","unified_limit","keystone","cache_time","unified_limit","keystone","this option has no effect unless global caching and receipt caching are enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","user_enabled_emulation_use_group_config","ldap","keystone","group_members_are_ids","ldap","keystone","this is the case when using `posixgroup` as the group object class in open directory.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'sql', B will work","driver","identity","keystone","password_expires_days","security_compliance","keystone","this feature depends on the `sql` backend for the `[identity] driver`.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'sql', B will work","driver","identity","keystone","password_regex","security_compliance","keystone","this feature depends on the `sql` backend for the `[identity] driver`.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'sql', B will work","driver","identity","keystone","change_password_upon_first_use","security_compliance","keystone","this feature is only applicable with the `sql` backend for the `[identity] driver`","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'jws', B will work","provider","token","keystone","jws_public_key_repository","jwt_tokens","keystone","this option is only applicable in deployments issuing jws tokens and setting `keystone.conf [tokens] provider = jws`.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'jws', B will work","provider","token","keystone","jws_private_key_repository","jwt_tokens","keystone","this option is only applicable in deployments issuing jws tokens and setting `keystone.conf [tokens] provider = jws`.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is false, B will work","force_metadata","default","neutron","enable_isolated_metadata","default","neutron","this option doesn't have any effect when force_metadata is set to true.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","enable_isolated_metadata","default","neutron","enable_metadata_network","default","neutron","this option requires enable_isolated_metadata = true","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'ssl', B will work","ovsdb_connection","ovs","neutron","ssl_key_file","ovs","neutron","required when using an ""ssl:"" prefixed ovsdb_connection","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'ssl', B will work","ovsdb_connection","ovs","neutron","ssl_cert_file","ovs","neutron","required when using an ""ssl:"" prefixed ovsdb_connection","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'ssl', B will work","ovsdb_connection","ovs","neutron","ssl_ca_cert_file","ovs","neutron","required when using an ""ssl:"" prefixed ovsdb_connection","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'kvm' or 'qemu', B will work","virt_type","libvirt","nova","cpu_mode","libvirt","nova","if ``virt_type=""kvm|qemu""``, it will default to ``host-model``, otherwise it will default to ``none``","found","Runtime","Runtime Exception","Runtime Failure","Complete"
"Control Dependency","if A is 'kvm' or 'qemu', B will work","virt_type","libvirt","nova","cpu_model","libvirt","nova","``virt_type``: only the virtualization types ``kvm`` and ``qemu`` use this.","found","Runtime","Runtime Exception","Runtime Failure","Complete"
"Control Dependency","if A is 'libvirt.libvirtdriver', B will work","compute_driver","default","nova","force_raw_images","default","nova","``compute_driver``: only the libvirt driver uses this option.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","send_arp_for_ha","default","nova","send_arp_for_ha_count","default","nova","when true, when a device starts up, and upon binding floating ip addresses, arp messages will be sent to ensure that the arp caches on the compute hosts are up-to-date.","found","no check ","N/A","Usability","None"
"Control Dependency","if A >1, B will work","mounted_disk_query_retry_count","hyperv","nova","mounted_disk_query_retry_interval","hyperv","nova","this option is meaningful when the mounted_disk_query_retry_count is greater than 1","found","no check ","N/A","Usability","None"
"Control Dependency","if A >1, B will work","volume_attach_retry_count","hyperv","nova","volume_attach_retry_interval","hyperv","nova","this options is meaningful when volume_attach_retry_count is greater than 1.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is not null, B will work","partition_key","ironic","nova","peer_list","ironic","nova","if partition_key is unset, this option is ignored.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'keystone_token' or 'keystone_password', B will work","auth_type","key_manager","nova","user_domain_name","key_manager","nova","optional for 'keystone_token' and 'keystone_password' auth_type.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'keystone_token' or 'keystone_password', B will work","auth_type","key_manager","nova","trust_id","key_manager","nova","optional for 'keystone_token' and 'keystone_password' auth_type.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'keystone_token' or 'keystone_password', B will work","auth_type","key_manager","nova","domain_id","key_manager","nova","optional for 'keystone_token' and 'keystone_password' auth_type.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'keystone_token' or 'keystone_password', B will work","auth_type","key_manager","nova","domain_name","key_manager","nova","optional for 'keystone_token' and 'keystone_password' auth_type.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'keystone_token' or 'keystone_password', B will work","auth_type","key_manager","nova","project_id","key_manager","nova","optional for 'keystone_token' and 'keystone_password' auth_type.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'keystone_token' or 'keystone_password', B will work","auth_type","key_manager","nova","project_name","key_manager","nova","optional for 'keystone_token' and 'keystone_password' auth_type.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'keystone_token' or 'keystone_password', B will work","auth_type","key_manager","nova","project_domain_id","key_manager","nova","optional for 'keystone_token' and 'keystone_password' auth_type.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'keystone_token' or 'keystone_password', B will work","auth_type","key_manager","nova","project_domain_name","key_manager","nova","optional for 'keystone_token' and 'keystone_password' auth_type.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'keystone_token' or 'keystone_password', B will work","auth_type","key_manager","nova","reauthenticate","key_manager","nova","optional for 'keystone_token' and 'keystone_password' auth_type.","found","no check ","N/A","Usability","None"
"Control Dependency","if A >-1, B will work","inject_partition","libvirt","nova","inject_password","libvirt","nova","``inject_key``: if this option allows the injection of a ssh key it depends on value greater or equal to -1 for ``inject_partition``","found","no check ","N/A","Usability","None"
"Control Dependency","if A is ""lvm"", B will work","images_type","libvirt","nova","volume_clear","libvirt","nova","only takes effect if lvm is set as backing storage.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is not none, B will work","volume_clear","libvirt","nova","volume_clear_size","libvirt","nova","that will be cleared using method set in ``volume_clear`` option.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is not null, B will work","serial_port_service_uri","vmware","nova","serial_port_proxy_uri","vmware","nova","this option is ignored if serial_port_service_uri is not specified","found","no check ","N/A","Usability","None"
"Control Dependency","if A is null, B will work","ca_file","vmware","nova","insecure","vmware","nova","this option is ignored if ""ca_file"" is set","found","no check ","N/A","Usability","None"
"Control Dependency","if A >-1, B will work","inject_partition","libvirt","nova","inject_key","libvirt","nova","inject_key``: If this option allows the injection of a SSH key it depends on value greater or equal to -1 for ``inject_partition``.","found","no check ","N/A","Usability","None"
"Control Dependency","if A > 0, B will work","instance_delete_interval","default","nova","maximum_instance_delete_attempts","default","nova","any value < 0: disables the option. * any positive integer in seconds.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'fixed', B will work","instance_list_cells_batch_strategy","api","nova","instance_list_cells_batch_fixed_size","api","nova","this controls the batch size of instances requested from each cell database if ``instance_list_cells_batch_strategy``` is set to ``fixed``.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","use_neutron_default_nets","api","nova","neutron_default_tenant_id","api","nova","when true, the tenantnetworkcontroller will query the neutron api to get the default networks to use","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'lvm', B will work","images_type","libvirt","nova","images_volume_group","libvirt","nova","lvm volume group that is used for vm images, when you specify images_type=lvm","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","enabled","rdp","nova","html5_proxy_base_url","rdp","nova","``rdp.enabled``: must be set to ``true`` for ``html5_proxy_base_url`` to be effective.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","limit_tenants_to_placement_aggregate","scheduler","nova","placement_aggregate_required_for_tenants","scheduler","nova","when limit_tenants_to_placement_aggregate=true, will control whether or not a tenant with no aggregate affinity will be allowed to schedule to any available node.","found","no check ","N/A","Usability","None"
"Control Dependency","if A = 0, B will work","weight_multiplier","metrics","nova","weight_of_unavailable","metrics","nova","0.0: the metric value is ignored, and the value of the 'weight_of_unavailable' option is returned instead","found","no check ","N/A","Usability","None"
"Control Dependency","if A is false, B will work","required","metrics","nova","weight_of_unavailable","metrics","nova","True or False, where False ensures any metric being unavailable for a host will set the host weight to 'weight_of_unavailable'.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is false, B will work","live_migration_tunnelled","libvirt","nova","live_migration_inbound_addr","libvirt","nova","the live_migration_inbound_addr value is ignored if tunneling is enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'keystone_token' or 'keystone_password', B should be larger than 0","auth_type","key_manager","nova","user_domain_id","key_manager","nova","optional for 'keystone_token' and 'keystone_password' auth_type.","found","no check ","N/A","Usability","None"
"Control Dependency","if A,B are true, C will work","verify_glance_signatures,enable_certificate_validation","glance","nova","default_trusted_certificate_ids","glance","nova","the value of this option may be used if both verify_glance_signatures and enable_certificate_validation are enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'vencrypt', B will work","auth_schemes","vnc","nova","vencrypt_client_key","vnc","nova","``vnc.auth_schemes``: must include ``vencrypt``","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'vencrypt', B will work","auth_schemes","vnc","nova","vencrypt_client_cert","vnc","nova","``vnc.auth_schemes``: must include ``vencrypt``","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'kvm' or 'qemu', B will work","virt_type","libvirt","nova","live_migration_scheme","libvirt","nova","this option is meaningful only when ``virt_type`` is set to `kvm` or `qemu`.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is is not set, B will be used","live_migration_uri","libvirt","nova","live_migration_scheme","libvirt","nova","If live_migration_uri is not set, the scheme used for live migration is taken from live_migration_scheme instead.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is enabled, B will take effect","verify_glance_signatures","glance","nova","enable_certificate_validation","glance","nova","This option only takes effect if verify_glance_signatures is enabled.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is not null, B will work","weight_setting","metrics","nova","weight_of_unavailable","metrics","nova","One of the metrics named in 'weight_setting' is not available for a host, and the value of 'required' is False","found","no check ","N/A","Usability","None"
"Control Dependency","A should be subset of B","enabled_filters","filter_scheduler","nova","available_filters","filter_scheduler","nova","all of the filters in this option *must* be present in the 'available_filters' option, or a schedulerhostfilternotfound Exception will be raised.","found","no check ","N/A","Usability","None"
"Control Dependency","if A != null, B will work","ionice_class","default","swift","ionice_priority","default","swift","Work only with ionice_class. Ignored if IOPRIO_CLASS_IDLE is set.","found","no check ","N/A","Usability","None"
"Control Dependency","if A > 0, B will work","consecutive_build_service_disable_threshold","compute","nova","build_failure_weight_multiplier","filter_scheduler","nova","consecutive_build_service_disable_threshold - must be nonzero for a compute to report data considered by this weigher. (floating point value)","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","allow_additional_image_properties","default","glance","image_property_quota","default","glance","allow users to add additional/custom properties to images. glance defines a standard set of properties. The number of additional properties that can be added to an image can be controlled via ``image_property_quota`` configuration option.","found","no check ","N/A","Usability","None"
"Control Dependency","if A == 'timing', B will work","sorting_method","proxy-server","swift","timing_expiry","proxy-server","swift","If the “timing” sorting_method is used, the timings will only be valid for the number of seconds configured by timing_expiry.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'tgtadm', B will work","target_helper","default","cinder","iscsi_write_cache","default","cinder","this parameter is valid if target_helper is set to tgtadm","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'useraccountcontrol', B will work","user_enabled_mask","ldap","keystone","user_enabled_attribute","ldap","keystone","this is typically used when `[ldap] user_enabled_attribute = useraccountcontrol`.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'useraccountcontrol', B will work","user_enabled_default","ldap","keystone","user_enabled_attribute","ldap","keystone","this is typically used when `[ldap] user_enabled_attribute = useraccountcontrol`.","found","no check ","N/A","Runtime Failure","None"
"Value Relationship (Numeric)","A <= B","limit_param_default","default","glance","api_limit_max","default","glance","the value of this configuration option may not be greater than the value specified by ``api_limit_max``","found","Runtime","Correction with logging","Usability","Partial"
"Value Relationship (Numeric)","A >= B","swift_temp_url_duration","glance","ironic","swift_temp_url_expected_download_start_delay","glance","ironic","this value must be greater than or equal to the value for swift_temp_url_expected_download_start_delay","found","Runtime","Runtime Exception","Runtime Failure","Complete"
"Value Relationship (Numeric)","A >= B","max_version","glance","ironic","min_version","glance","ironic","intended to be used as the upper bound of a range with min_version","found","Runtime","Correction without logging","Usability","None"
"Value Relationship (Numeric)","A >= B","max_version","cinder","ironic","min_version","cinder","ironic","intended to be used as the upper bound of a range with min_version","found","Runtime","Correction without logging","Usability","None"
"Value Relationship (Numeric)","A >= B","max_version","inspector","ironic","min_version","inspector","ironic","intended to be used as the upper bound of a range with min_version","found","Runtime","Correction without logging","Usability","None"
"Value Relationship (Numeric)","A >= B","max_version","neutron","ironic","min_version","neutron","ironic","intended to be used as the upper bound of a range with min_version","found","Runtime","Correction without logging","Usability","None"
"Value Relationship (Numeric)","A >= B","max_version","service_catalog","ironic","min_version","service_catalog","ironic","intended to be used as the upper bound of a range with min_version","found","Runtime","Correction without logging","Usability","None"
"Value Relationship (Numeric)","A >= B","max_version","swift","ironic","min_version","swift","ironic","intended to be used as the upper bound of a range with min_version","found","Runtime","Correction without logging","Usability","None"
"Value Relationship (Numeric)","A <= B","minimum_password_age","security_compliance","keystone","password_expires_days","security_compliance","keystone","if `[security_compliance] password_expires_days` is set, then the value for this option should be less than the `password_expires_days`.","found","no check ","N/A","Usability","None"
"Value Relationship (Numeric)","A < B","resync_throttle","default","neutron","resync_interval","default","neutron","the value must be less than resync_interval","found","Init Time","Init Time Exception","Startup Failure","Complete"
"Value Relationship (Numeric)","A < B","report_interval","default","nova","service_down_time","default","nova","as a query can potentially return many thousands of items, you can limit the maximum number of items in a single response by setting this option","found","Runtime","Correction with logging","Usability","Complete"
"Value Relationship (Numeric)","B is multiple of A","backup_gcs_block_size","default","cinder","backup_gcs_object_size","default","cinder","backup_gcs_object_size has to be multiple of backup_gcs_block_size","found","Init Time","Init Time Exception","Startup Failure","None"
"Value Relationship (Numeric)","B is multiple of A","backup_sha_block_size_bytes","default","cinder","backup_file_size","default","cinder","the size in bytes that changes are tracked for incremental backups. backup_file_size has to be multiple of backup_sha_block_size_bytes.","found","Init Time","Init Time Exception","Startup Failure","None"
"Value Relationship (Numeric)","B is multiple of A","backup_swift_block_size","default","cinder","backup_swift_object_size","default","cinder","backup_swift_object_size has to be multiple of backup_swift_block_size.","found","Init Time","Init Time Exception","Startup Failure","None"
"Value Relationship (Numeric)","A <= B","instance_list_cells_batch_fixed_size","api","nova","max_limit","api","nova","If the limit is smaller than the batch size, the limit will be used instead","found","Runtime","Correction without logging","Usability","None"
"Value Relationship (Numeric)","A >= B","swift_store_large_object_size","glance.store.swift.store","glance","swift_store_large_object_chunk_size","glance.store.swift.store","glance","the maximum size, in mb, of the segments when image data is segmented.","Corner Cases","no check","N/A","Performance issues","None"
"Value Relationship (Numeric)","A < B","send_sensor_data_wait_timeout","conductor","ironic","send_sensor_data_interval","conductor","ironic","should be less than send_sensor_data_interval value.","Corner Cases","no check ","N/A","Usability","None"
"Value Relationship (Numeric)","A <= B","fast_track_timeout","deploy","ironic","ramdisk_heartbeat_timeout","api","ironic","this value should not exceed the [api]ramdisk_heartbeat_timeout setting.","Corner Cases","no check ","N/A","Usability","None"
"Value Relationship (Numeric)","A >= B * 2","agent_down_time","default","neutron","report_interval","agent","neutron","agent_down_time should be at least twice report_interval","Corner Cases","no check","N/A","Performance issues","None"
"Value Relationship (Numeric)","A != B","dvr_base_mac","default","neutron","base_mac","default","neutron","the 'dvr_base_mac' *must* be different from 'base_mac'","Corner Cases","no check","N/A","Usability","None"
